PRACTICE Benefit Corp||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||NYC K-12 Tutors for all Boroughs||192720.0||$22.00/hr - $26.00/hr||aekjfo;i||Manhattan, NY
Lockheed Martin||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Finance - Intern||aekjfo;i||Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.Lockheed Martin Aeronautics in Palmdale, CA is seeking a Summer 2024 Intern Finance candidate. In this role, you will establish and manage program cost baselines, conduct Earned Value analysis and associated variance analysis using various Enterprise toolsets including CostView, Winsight and others. The candidate will also conduct Estimate at Complete analysis (EAC) and prepare accompanying analysis for presentation to various levels of leadership. The successful candidate will have experience and/or knowledge of data mining and data analysis and presenting those findings to management. Must be a US Citizen. This position is located at a facility that requires special access.Basic Qualifications: Pursuing a Bachelors degree in Finance or other Business-related field Proficient in Microsoft Office Suite, especially Excel and navigating large data setsMust be a US Citizen. This position is located at a facility that requires special access.Desired Skills: Basic knowledge of data analytics tools such as Tableau and Alteryx SAP experience Excellent written and verbal communication skills Ability to work in a collaborative and team-based environmentClearance Level: NoneOther Important Information You Should KnowExpression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.Ability to Work Remotely: Full-time Remote Telework: The employee selected for this position will work remotely full time at a location other than a Lockheed Martin designated office/job site. Employees may travel to a Lockheed Martin office for periodic meetings.Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.Pay Rate:The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $46,280 - $53,248 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.Pay Rate:The annual base salary range for this position in most major metropolitan areas in California and New York is $48,568 - $53,248. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate+IBk-s work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They+IBk-re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.As a leading technology innovation company, Lockheed Martin+IBk-s vast team works with partners around the world to bring proven performance to our customers+IBk toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.Experience Level: Co-op/Summer InternBusiness Unit: AERONAUTICS COMPANYRelocation Available: NoCareer Area: FinanceType: Part-TimeShift: First||aekjfo;i||Palmdale, CA
City of Mansfield, Texas Municipal Government||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Water Operator C/Trainee - WU043||41500.0||$41,500.00/yr - $48,500.00/yr||aekjfo;i||Mansfield, TX
Crocs||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Climate & Sustainability Intern||175200.0||$20.00/hr - $22.50/hr||aekjfo;i||Broomfield, CO
Lockheed Martin||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||System Administrator - Intern||aekjfo;i||Description:Lockheed Martin Rotary and Mission Systems (RMS) is looking for an Energetic student pursuing an Information Technology (IT), Computer Science (CS), or similar degree for a 2024 Summer Internship.The selected candidate will be working with experienced IT professionals supporting the C2BMC program for the Missile Defense Agency.Position Responsibilities May Include But Are Not Limited To Cybersecurity Managing classified computer systems Managing classified networks Managing user accountsBasic Qualifications**Must be a US Citizen; this position will require a government security clearance. This position is located at a facility that requires special access ** Pursuing degree in Cybersecurity or IT related field (CIS, MIS, CS, Cyber) Must possess active COMPTIA Security+- certification Must possess good problem solving skills Highly MotivatedDesired Skills Cybersecurity interest Windows or Linux system administration coursework / certifications Network management coursework / certificationsSecurity Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration.Clearance Level: SecretOther Important Information You Should KnowExpression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.Ability to Work Remotely: Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.Schedule for this Position: 4x10 hour day, 3 days off per weekPay RateThe annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $53,664 - $61,672 . Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.Benefits offered: Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental absences and other reasons; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of Vacation per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO, Vacation, sick leave, and holiday hours are prorated based on start date during the calendar year.Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They+IBk-re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.As a leading technology innovation company, Lockheed Martin+IBk-s vast team works with partners around the world to bring proven performance to our customers+IBk toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.Experience Level: Co-op/Summer InternBusiness Unit: RMSRelocation Available: PossibleCareer Area: Information TechnologyType: Part-TimeShift: First||aekjfo;i||Colorado Springs, CO
US Environmental Protection Agency (EPA)||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Student Trainee (Physical Science)||aekjfo;i||Help Help Requirements  Conditions of EmploymentIf you are selected, a written participant agreement must be signed.You must be a U.S. citizen.You must submit a resume and required documents--see How to Apply section.You must submit transcripts & proof of enrollment--see Required Documents.You must be age 16 or older.This position is designated as Low Risk and requires a background investigation. Unless an appropriate background investigation is already on record with the Office of Personnel Management, you must undergo a background investigation. All conditions of the pre-employment security process must be met before an official letter of employment can be issued with a report for duty date.You must be enrolled at least half-time and maintain at least a half-time course load as defined by your academic institution (typically 6 undergraduate credit hours or 4.5 graduate credit hours per semester).You must have and maintain good academic standing as defined by your academic institution (typically a cumulative GPA of at least 2.0).If you are selected, the entire period served under the Internship Program will be a trial period.This position requires the use of personal protective equipment (PPE).QualificationsYou must be enrolled in an academic program directly related to the position.RequirementsIn addition to the eligibility requirements for the Pathways Internship Program, you need a degree or combination of education and experience as described below to qualify for this position:A bachelor+IBk-s or higher degree from an accredited or pre-accredited college or university in physical science, engineering, or mathematics that included 24 semester hours in physical science and/or related engineering science such as mechanics, dynamics, properties of materials, and electronics; OR a combination of education and experience with education equivalent to one of the majors listed that included at least 24 semester hours in physical science and/or related engineering science, plus appropriate experience or additional education.For information about accreditation requirements, visit EPA Announcement Policies and Procedures .In addition to the minimum educational requirements above, you must have educational achievements and/or specialized experience related to this position as described below.To qualify for the GS-09 level, you need to have a master's or equivalent graduate degree or two full years of progressively higher level graduate education leading to such a degree in the academic discipline as described above; OR at least one year of full-time experience equivalent to the GS-07 level defined as preparing and analyzing data using standard methodologies and techniques; and preparing briefings for management; OR an equivalent combination of education and experience.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.If you have part-time work experience, read this: EPA Announcement Policies and Procedures .EducationThis job does not have an education qualification requirement.Additional InformationIf you are graduating from your present course of study at the end of the current semester/quarter: You may be hired prior to graduation; however, to continue in this program after graduation, you must be continuing your education next semester/quarter and be accepted for enrollment seeking a diploma, certificate, bachelor+IBk-s degree, graduate degree, or professional degree from a qualifying educational institution on a full- or half-time basis.Interns without not-to-exceed dates who successfully complete the program may be converted to a term or permanent position in the competitive service without further competition. The grade level you may be converted to will be dependent on the grade for which you qualify (based on your education and/or experience), but the grade level can be no higher than the promotion potential indicated in this announcement.NOTE: To be eligible for conversion, you must complete 640 hours of work (if you meet all required criteria, up to 320 hours may be waived if: (1) you complete 320 hours of career-related work experience under an Internship Program appointment and have demonstrated high potential by outstanding academic achievement and exceptional job performance; or (2) you complete comparable non-federal internship experience in a field or functional area related to your target position).EPA participates in E-Verify. E-Verify is an Internet based system operated by the Department of Homeland Security (DHS) in partnership with the Social Security Administration (SSA) that enables participating employers to electronically verify the employment eligibility of their newly hired employees. For additional information: EPA Announcement Policies and Procedures .Diversity, equity, and inclusion are core values at EPA. Our excellence can only be fully realized by staff who share our commitment to these values. Successful candidates are committed to advancing equity and inclusion in the Agency+IBk-s workplace and mission. We encourage applications from candidates with a variety of personal experiences, values, and worldviews that arise from differences of culture and circumstance. At EPA, diversity is a vital element in bringing a balance of perspectives to bear on every challenge we face. We are committed to creating a diverse workforce because we know that the individual strengths and abilities of our employees make us a stronger organization. The more inclusive our employee base is, the greater the variety of ideas that are generated, and the more representative we are of the nation we serve. To learn more about how EPA values and supports our diverse workforce, visit Equal Opportunity Employment at EPA .Except in special circumstances, those new to the federal government will be hired at the starting salary (step 1) of the applicable grade range listed in the Overview section.If you are selected, travel, transportation, and relocation expenses will not be paid by EPA. Any travel, transportation, and relocation expenses associated with reporting to work in this position will be your responsibility.This position may be in the bargaining unit.Read more Help Help A career with the U.S. government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Opens in a new window Learn more about federal benefits .Join EPA in protecting human health and the environment and enjoy many work life quality options! Working for the EPA offers you a comprehensive benefits package that includes, in part, paid vacation, sick leave, holidays, life insurance, health benefits, and participation in the Federal Employees Retirement System. To learn more about us, visit Life and Careers at EPA .This position may be eligible for flexible work schedules in accordance with EPA+IBk-s Workplace Flexibilities policy and/or applicable Collective Bargaining Agreement. If selected, you may apply for expanded telework or, after 90 days of employment, remote work. These flexibilities are not guaranteed and will be determined in accordance with policy and position requirements after you are hired.PUBLIC SERVICE LOAN FORGIVENESS (PSLF): As a federal employee, you may be eligible for student loan forgiveness under the Public Service Loan Forgiveness program. The PSLF program forgives the remaining balance on federal Direct Loans after you have made 120 qualifying payments while working full-time for a qualifying employer, including EPA. Learn more: pslf.govThis position has portable work. If selected for this position, you may be eligible for partial work-from-home flexibilities after meeting eligibility requirements, as allowable by agency policy and/or applicable collective bargaining agreement.Review our benefitsEligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. Contact the hiring agency for more information on the specific benefits offered.||aekjfo;i||Durham, NC
aekjfo;i||aekjfco;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i
aekjfo;i||aekjfco;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i
aekjfo;i||aekjfco;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i||aekjfo;i
Cartier||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Mansion Retail Experience Intern||175200.0||$20.00/hr - $25.00/hr||aekjfo;i||New York, NY
Lockheed Martin||https://static.licdn.com/aero-v1/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e||Software Engineer - Early Career Intern||aekjfo;i||Description:Job Description :By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work.At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility.Your Mission is Ours.Lockheed Martin RMS in Moorestown, NJ is seeking a full-time Early Career Software Engineer for the In this role, you will developing Object Oriented C+-+- software in an Agile team environment for the Radar Control Program (RCP) group.The Software Engineer will contribute to a wide variety of projects as our business needs evolve. The work may include requirement analysis, detailed design, application development, software testing, debugging, and sustainment.The individual will be developing Object Oriented C+-+- software in an Agile team environment with domain experts from Hardware, Software, Subsystems and Systems Engineering to understand requirements, establish architecture/design, implement sound solutions, develop unit tests, and support integration and sustainment activities.Must be a US Citizen; this position will require a government security clearance.Basic Qualifications Pursuing a bachelor's degree in Computer Science, Computer Engineering, Software Engineering, Electrical Engineering or similar STEM field Candidate must be able to obtain & maintain a Secret security clearance (Interim Prior to Start). Knowledge of object-oriented C+-+- programmingDesired Skills Knowledge of Software Modeling (UML) and architecture. Knowledge of Code Optimization and real time SW development. Knowledge of Automated Test tools and Techniques, Static Code Analysis tools. Knowledge of Agile Principles and Scrum Methodologies.Security Clearance Statement: This position requires a government security clearance, you must be a US Citizen for consideration.Clearance Level: SecretOther Important Information You Should KnowExpression of Interest: By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.Ability to Work Remotely: Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.Work Schedules: Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.Schedule for this Position: 4x10 hour day, 3 days off per weekLockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.The application window will close in 90 days; applicants are encouraged to apply within 5 - 30 days of the requisition posting date in order to receive optimal consideration.At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.If this sounds like a culture you connect with, you+IBk-re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.Experience Level: Co-op/Summer InternBusiness Unit: RMSRelocation Available: PossibleCareer Area: Software EngineeringType: Part-TimeShift: First||aekjfo;i||Moorestown, NJ
